filename,text
data/hindi_train_images\train_0.jpg,केंद्रों
data/hindi_train_images\train_1.jpg,फ़त्तू
data/hindi_train_images\train_2.jpg,सैटल
data/hindi_train_images\train_3.jpg,थाने
data/hindi_train_images\train_4.jpg,इंडियन
data/hindi_train_images\train_5.jpg,जद
data/hindi_train_images\train_6.jpg,सुरिंदर
data/hindi_train_images\train_7.jpg,टाटा
data/hindi_train_images\train_8.jpg,आर्षग्रंथों
data/hindi_train_images\train_9.jpg,कर्नाटक
data/hindi_train_images\train_10.jpg,र्दज
data/hindi_train_images\train_11.jpg,फैलाती
data/hindi_train_images\train_12.jpg,बल्ब
data/hindi_train_images\train_13.jpg,अपहरणकर्ताओं
data/hindi_train_images\train_14.jpg,राजीति
data/hindi_train_images\train_15.jpg,जिनसे
data/hindi_train_images\train_16.jpg,फायदेमंद
data/hindi_train_images\train_17.jpg,जाएं।
data/hindi_train_images\train_18.jpg,तान्त्रिक
data/hindi_train_images\train_19.jpg,पत्नियाँ
data/hindi_train_images\train_20.jpg,देशमुख
data/hindi_train_images\train_21.jpg,सांवरिया
data/hindi_train_images\train_22.jpg,अभिनेत्रियों
data/hindi_train_images\train_23.jpg,बेचने
data/hindi_train_images\train_24.jpg,धिसने
data/hindi_train_images\train_25.jpg,डीजल
data/hindi_train_images\train_26.jpg,कथा-साहित्य
data/hindi_train_images\train_27.jpg,फूटेगा
data/hindi_train_images\train_28.jpg,इंडोसेट
data/hindi_train_images\train_29.jpg,धाम
data/hindi_train_images\train_30.jpg,नाव
data/hindi_train_images\train_31.jpg,बटोरना
data/hindi_train_images\train_32.jpg,खानेकाह
data/hindi_train_images\train_33.jpg,प्रांत
data/hindi_train_images\train_34.jpg,ब्लोग-जगत
data/hindi_train_images\train_35.jpg,माले
data/hindi_train_images\train_36.jpg,कृत
data/hindi_train_images\train_37.jpg,जश्न
data/hindi_train_images\train_38.jpg,सेवायोजित
data/hindi_train_images\train_39.jpg,कप
data/hindi_train_images\train_40.jpg,विदा
data/hindi_train_images\train_41.jpg,प्रेत
data/hindi_train_images\train_42.jpg,बलदेव
data/hindi_train_images\train_43.jpg,आकाशे
data/hindi_train_images\train_44.jpg,सुनाने
data/hindi_train_images\train_45.jpg,शख्स
data/hindi_train_images\train_46.jpg,कोठों
data/hindi_train_images\train_47.jpg,असोशल
data/hindi_train_images\train_48.jpg,युवतियों
data/hindi_train_images\train_49.jpg,मज़ा
data/hindi_train_images\train_50.jpg,लिखें
data/hindi_train_images\train_51.jpg,राजगीर
data/hindi_train_images\train_52.jpg,शुक्रिया
data/hindi_train_images\train_53.jpg,पूजा
data/hindi_train_images\train_54.jpg,संबलपुरी
data/hindi_train_images\train_55.jpg,फैलता
data/hindi_train_images\train_56.jpg,फोडता
data/hindi_train_images\train_57.jpg,प्रज्ज्वलन
data/hindi_train_images\train_58.jpg,एके
